ID;kitapadi;yazaradi;yayinevi
2718;Hurda Kosku;Edward Carey;KIRMIZI KEDI 
2719;Soylev (Nutuk);Mustafa Kemal Ataturk;KIRMIZI KEDI 
2720;Evvel Zaman Icinde;Tarik Demirkan;KIRMIZI KEDI 
2721;Bitlendigimiz Yil;David Nel.lo;FINAL YAYINLARI
2722;Kedi Gunlukleri;Mehmet Guler;FINAL YAYINLARI
2723;Kucuk Tahta Atin Maceralari;Ursula Moray Williams;FINAL YAYINLARI
2724;Fritzi ve Dunyanin En Kucuk Kurtarma Ekibi;Jutta Nymphius;FINAL YAYINLARI
2725;Fritzi Opal Tasinin Pesinde;Jutta Nymphius;FINAL YAYINLARI
2726;Damdaki Kedi;Grazia Ciavatta;FINAL YAYINLARI
2727;Bir Zamanlar Leonardo da Vinci;Janna Carioli;FINAL YAYINLARI
2728;Elma Agacinda Bir Buyukanne;Mira Lobe;FINAL YAYINLARI
2729;Balkonya'da Yaz Tatili;Rusalka Reh;FINAL YAYINLARI
2730;Maya ve Motte: Seni Yaramaz Tuy Yumagi!;Antje Szillat;FINAL YAYINLARI
2731;Lunalos Gizemi;Rusalka Reh;FINAL YAYINLARI
2732;Neredesin Janinka?;David Cirici;FINAL YAYINLARI
2733;Cizgi Romanin Gorunmez Kahramanlari: Yazar ve Cizer;Gonul Oztopuz;FINAL YAYINLARI
2734;Ah Su Tasarimcilar! Endustri Urunleri Tasarimcisi ve Moda Tasarimcisi;Gonul Oztopuz;FINAL YAYINLARI
2735;Benim Babam Bir Pilot;Gonul Oztopuz;FINAL YAYINLARI
2736;Golge Kahramanlar 1- Sirkte Olay Cikiyor!;Gonul Oztopuz;FINAL YAYINLARI
2737;Golge Kahramanlar 2- Unutulmayacak Bir Gemi Yolculugu!;Gonul Oztopuz;FINAL YAYINLARI
2738;Anadolu Masallari- Hidirellez Geliyor!;Yucel Feyzioglu;FINAL YAYINLARI
2739;Anadolu Masallari- Keloglan ile Kahkaha Hanim;Yucel Feyzioglu;FINAL YAYINLARI
2740;Azeri Masallari - Yanik ile Dilek Boncugu;Yucel Feyzioglu;FINAL YAYINLARI
2741;Altay Masallari - Iristu ile Ak Kagan ;Yucel Feyzioglu;FINAL YAYINLARI
2742;Minik Ascilar Atolyesi- Tatli Tarifler;Aslihan Kostak;FINAL YAYINLARI
2743;Beyazlar Ulkesi'nin Kahramanlari;Serap Sahin;FINAL YAYINLARI
2744;Saskin Sovalye;Martyn Beardsley;FINAL YAYINLARI
2745;Saskin Sovalye Kotuye Gidiyor;Martyn Beardsley;FINAL YAYINLARI
2746;Sakin Sovalye ve Hayalet;Martyn Beardsley;FINAL YAYINLARI
2747;Dinkin Dings ve Urkunc Boculer;Guy Bass;FINAL YAYINLARI
2748;Dinkin Dings ve Balik Adamlarin Intikami;Guy Bass;FINAL YAYINLARI
2749;Dinkin Dings ve Tirmikel'in Laneti;Guy Bass;FINAL YAYINLARI
2750;Dinkin Dings ve 9. Boyuttan Gelen Ikizi;Guy Bass;FINAL YAYINLARI
2751;Dinodostlar - Kaya Gibi Saglam Dostlar;Andrea Pau;FINAL YAYINLARI
2752;Dinodostlar - Kizarmis Muz Hirsizligi;Andrea Pau;FINAL YAYINLARI
2753;Dinodostlar - T-Reks Alarmi!;Andrea Pau;FINAL YAYINLARI
2754;Dinodostlar - Dev Buzullar Arasinda;Andrea Pau;FINAL YAYINLARI
2755;Dedektif Kediler - Mutfaklar Kralini Kim Kacirdi?;Alessandro Gatti & Davide Morosinotto;FINAL YAYINLARI
2756;Dedektif Kediler - Centilmen Bir Hirsiz;Alessandro Gatti & Davide Morosinotto;FINAL YAYINLARI
2757;Dinozor Sokagi - Bahceye Tiranozor Girmis!;Nick Falk;FINAL YAYINLARI
2758;Dinozor Sokagi - Pterodaktilin Biri Odevimi Caldi!;Nick Falk;FINAL YAYINLARI
2759;Dedektif Rino- Kayip Penguen Vakasi;Pilar Lozano Carbayo & Alejandro Rodríguez;FINAL YAYINLARI
2760;Dedektif Rino- Kirmizi Havuzun Gizemi;Pilar Lozano Carbayo & Alejandro Rodríguez;FINAL YAYINLARI
2761;Dedektif Rino- Cok Garip Bir Yabanci;Pilar Lozano Carbayo & Alejandro Rodríguez;FINAL YAYINLARI
2762;Olay Yeri Inceleme - Simyanin Buyusu – Bir Isaac Newton Polisiyesi;Annette Neubauer;FINAL YAYINLARI
2763;Olay Yeri Inceleme - Zepline Sabotaj – Bir Ferdinand von Zeppelin Polisiyesi;Annette Neubauer;FINAL YAYINLARI
2764;Olay Yeri Inceleme -Laboratuvarda Panik – Bir Marie Curie Polisiyesi;Bellinda;FINAL YAYINLARI
2765;Olay Yeri Inceleme- Fuar Alaninda Patlama- Bir Rudolf Diesel Polisiyesi;Gerd Ruebenstrunk;FINAL YAYINLARI
2766;Olay Yeri Inceleme - Gizemli X Isinlari - Bir Wilhelm Conrad Rontgen Polisiyesi;Renée Holler;FINAL YAYINLARI
2767;Ninja Mirketler - Akrep Klani;Gareth P. Jones;FINAL YAYINLARI
2768;Ninja Mirketler - Maymun Gozu;Gareth P. Jones;FINAL YAYINLARI
2769;Ninja Mirketler - Buz Dagindan Kacis;Gareth P. Jones;FINAL YAYINLARI
2770;Ammerlo Cocuklarinin Maceralari;Antonia Michaelis;FINAL YAYINLARI
2771;Ammerlo Cocuklarinin Maceralari- Kacak Yolcu;Antonia Michaelis;FINAL YAYINLARI
2772;Agatha Mistery – Firavun’un Sirri;Sir Steve Stevenson;FINAL YAYINLARI
2773;Agatha Mistery – Bengal Incisi;Sir Steve Stevenson;FINAL YAYINLARI
2774;Agatha Mistery – Iskocya Krali'nin Kilici;Sir Steve Stevenson;FINAL YAYINLARI
2775;Agatha Mistery – Niagara Selalesi’nde Hirsizlik;Sir Steve Stevenson;FINAL YAYINLARI
2776;Agatha Mistery – Eyfel Kulesi’nde Cinayet;Sir Steve Stevenson;FINAL YAYINLARI
2777;Peri Agaci Masallari - Gul ve Arkadaslik Dilegi;Lara Faraway;FINAL YAYINLARI
2778;Peri Agaci Masallari - Leylak ve Yavru Ejderha Sorunu;Lara Faraway;FINAL YAYINLARI
2779;Peri Agaci Masallari - Zambak ve Gun Batimi Korosu;Lara Faraway;FINAL YAYINLARI
2780;Peri Agaci Masallari - Papatya ve Arilar;Lara Faraway;FINAL YAYINLARI
2781;Baykuslarin Dostlugu;Elisa Puricelli Guerra;FINAL YAYINLARI
2782;Merlin'in Sirri;Elisa Puricelli Guerra;FINAL YAYINLARI
2783;Belali Bart Efsanesi;Elisa Puricelli Guerra;FINAL YAYINLARI
2784;Ben Kaz Degilim!;Vivian Vande Velde;FINAL YAYINLARI
2785;Juniper Berry  Gizli Dunyalarin Pesinde;M. P. Kozlowsky;FINAL YAYINLARI
2786;Japler'in Sirri;Jordi Cervera;FINAL YAYINLARI
2787;Secilmis;Eva Balaguer-Cortés;FINAL YAYINLARI
2788;Bir Ogul;Alejandro Palomas;FINAL YAYINLARI
2789;Aldorian - Kayip Ulke;Aysun Peksen;FINAL YAYINLARI
2790;Aldorian – Puslu Ayna;Aysun Peksen;FINAL YAYINLARI
2791;Altin Yildiz;Aysun Peksen;FINAL YAYINLARI
2792;Altin Yildiz- Kara Kapli Kitap;Aysun Peksen;FINAL YAYINLARI
2793;Calinan Sihirli Keman;Rusalka Reh;FINAL YAYINLARI
2794;Peki Ama Ben Kimim?;Seran Demiral;FINAL YAYINLARI
2795;Okulda Ne Isim Var?;Seran Demiral;FINAL YAYINLARI
2796;Nasil Yapalim?;Seran Demiral;FINAL YAYINLARI
2797;Dunyayi Neden Degistirmeliyiz?;Seran Demiral;FINAL YAYINLARI
2798;Dunyanin Sonundaki Ev;José María Plaza;FINAL YAYINLARI
2799;Bassiz Savascilar Kalesi;José María Plaza;FINAL YAYINLARI
2800;Intikamci Zorro'nun Kampi;José María Plaza;FINAL YAYINLARI
2801;Almudena Mezarligi'nda Bir Gece;José María Plaza;FINAL YAYINLARI
2802;Lanetli Bodrum;José María Plaza;FINAL YAYINLARI
2803;Lunapark'ta Mahsur;José María Plaza;FINAL YAYINLARI
2804;Caylaklar;Jack D. Ferraiolo;FINAL YAYINLARI
2805;Kâgittan Kalpler;Elisa Puricelli Guerra;FINAL YAYINLARI
2806;ACEMI KORSAN;NEHIR YARAR;ELMACOCUK YAYINLARI
2807;AKLINI ARAYAN COCUK ;OZDEN ASLAN;ELMACOCUK YAYINLARI
2808;ALEXANDER VE OYUNCAK FARE;LEO LIONNI;ELMACOCUK YAYINLARI
2809;ANADOLU'NUN KAYBOLAN MASALLARI;ERDOGAN IZGOREN;ELMACOCUK YAYINLARI
2810;ARZAVUL TEPESI ;MEHMET ERKAN;ELMACOCUK YAYINLARI
2811;ARZAVUL TEPESI 2:MOLLIMLER;MEHMET ERKAN;ELMACOCUK YAYINLARI
2812;ARZAVUL TEPESI 3: KAYIP ULKELERE DOGRU;MEHMET ERKAN;ELMACOCUK YAYINLARI
2813;BALIK CORBASI ;URSULA K. LE GUIN;ELMACOCUK YAYINLARI
2814;BEYBABADAN MASALLAR;AHMET ONEL;ELMACOCUK YAYINLARI
2815;CEREN KONUYU ANLAMADI;PELIN GUNES;ELMACOCUK YAYINLARI
2816;CESUR AKTOR GERCEKLER ORMANI'NDA;DILARA YALCIN OKUR;ELMACOCUK YAYINLARI
2817;CIPLAK ZEBRA;AHMET ONEL;ELMACOCUK YAYINLARI
2818;COK HAYAL KURAN COCUK;SERMIN CARKACI;ELMACOCUK YAYINLARI
2819;CORAP AGACI;ARZU SEHIM;ELMACOCUK YAYINLARI
2820;DUS HIRSIZININ CIRAGI;AHMET ONEL;ELMACOCUK YAYINLARI
2821;EN YENI ARKADASIM;MEHMET ERKAN AYDIN;ELMACOCUK YAYINLARI
2822;EZGIMIZI KIM CALDI?;AHMET ONEL;ELMACOCUK YAYINLARI
2823;FREDERICK;LEO LIONNI;ELMACOCUK YAYINLARI
2824;GECEYI YUTAN COCUK;SENAY SEBA;ELMACOCUK YAYINLARI
2825;GUNLE YARISAN YARISCI;AHMET ONEL;ELMACOCUK YAYINLARI
2826;GUZELLIK TACI;SALIM KESGINGOZ;ELMACOCUK YAYINLARI
2827;HAYAL KASABASI;YESIM KELES;ELMACOCUK YAYINLARI
2828;HEZARFEN UCMAK OZGURLUKTUR;AHMET ONEL;ELMACOCUK YAYINLARI
2829;IBRAHIM'IN ELMA YANAKLARI;OZLEM AFACAN ERBASLAR;ELMACOCUK YAYINLARI
2830;INATCI TOHUM;CEREN KERIMOGLU;ELMACOCUK YAYINLARI
2831;JULES VERNE OYKULER-1;JULES VERNE;ELMACOCUK YAYINLARI
2832;JULES VERNE OYKULER-2;JULES VERNE;ELMACOCUK YAYINLARI
2833;JULES VERNE OYKULER-3;JULES VERNE;ELMACOCUK YAYINLARI
2834;KALBINAZ BEKLERKEN;PELIN GUNES;ELMACOCUK YAYINLARI
2835;KANATSIZ ARI MU;AHMET SERIF IZGOREN;ELMACOCUK YAYINLARI
2836;KANATSIZ ARI MU-2 ILK UCUS;AHMET SERIF IZGOREN;ELMACOCUK YAYINLARI
2837;KANATSIZ ARI MU-3 BUYUK SALDIRI;AHMET SERIF IZGOREN;ELMACOCUK YAYINLARI
2838;KARA OKLAR CETESI-BUYUK MACERA;AHMET SERIF IZGOREN;ELMACOCUK YAYINLARI
2839;KARA OKLAR CETESI-KIBRIS AZIZ BARNABAS'IN SIRRI;AHMET SERIF IZGOREN;ELMACOCUK YAYINLARI
2840;KAYIP MADALYANIN PESINDE;FERRIN ILBAY YALNIZ;ELMACOCUK YAYINLARI
2841;KIRMIZI BENEKLI KUTU;OZDEN ASLAN;ELMACOCUK YAYINLARI
2842;KIRMIZI DENIZYILDIZI;CEREN KERIMOGLU;ELMACOCUK YAYINLARI
2843;KONAKTA NELER OLUYOR?;PELIN GUNES;ELMACOCUK YAYINLARI
2844;KOSE BUCAK SAFRANBOLU;PELIN GUNES;ELMACOCUK YAYINLARI
2845;KUCUK BEYAZ UGUR BOCEGI;AHMET SERIF IZGOREN;ELMACOCUK YAYINLARI
2846;KUCUK BULUT SIRUS;CEREN KERIMOGLU;ELMACOCUK YAYINLARI
2847;LABIRENT;SENAY SEBA;ELMACOCUK YAYINLARI
2848;MINIK VE BENEK;NILAY DALYAN;ELMACOCUK YAYINLARI
2849;MOMO'NUN SARAYI;PELIN GUNES;ELMACOCUK YAYINLARI
2850;OKYUNUS’A OZGURLUK;CEREN KERIMOGLU;ELMACOCUK YAYINLARI
2851;PASTA KAMYONU;PELIN OSSMANN;ELMACOCUK YAYINLARI
2852;PEZZETTINO;LEO LIONNI;ELMACOCUK YAYINLARI
2853;PINRA'NIN KOKU KONSERVESI;SIBEL ERSOY ARSLAN;ELMACOCUK YAYINLARI
2854;PO 2: KOYUNLAR KRALI'NIN IZINDE;AHMET SERIF IZGOREN;ELMACOCUK YAYINLARI
2855;PO:IYILIK PATAPATA'YA INIYOR;AHMET SERIF IZGOREN;ELMACOCUK YAYINLARI
2856;PORTAKALLI KURABIYE SOKAGI;PELIN OSSMANN;ELMACOCUK YAYINLARI
2857;POSETTO;CEREN KERIMOGLU;ELMACOCUK YAYINLARI
2858;RESIMLI HAYAL ANSIKLOPEDISI;SENER SUKRU YIGITLER;ELMACOCUK YAYINLARI
2859;SAHI MI SUSAM;AHMET ONEL;ELMACOCUK YAYINLARI
2860;SAKIZ AGACI;CEREN KERIMOGLU;ELMACOCUK YAYINLARI
2861;SANDIK SEPET ANKARA;PELIN GUNES;ELMACOCUK YAYINLARI
2862;SEVGILI GUNLUK OYKU ANLATIYOR;AHMET ONEL;ELMACOCUK YAYINLARI
2863;SURPRIZ BILMECE GUNU;BASAK ERALP GUR;ELMACOCUK YAYINLARI
2864;SUTKUS'UN COCUKLARI;HULYA KIBAROGLU;ELMACOCUK YAYINLARI
2865;SAKACI KUSLAR SOKAGI;PETEK SINEM DULUN;ELMACOCUK YAYINLARI
2866;TILKI MASALLARI 1 CESARET SANDIGI;SERMIN CARKACI;ELMACOCUK YAYINLARI
2867;TILKI MASALLARI 2 UYUYOR MUSUN?;SERMIN CARKACI;ELMACOCUK YAYINLARI
2868;TILKI MASALLARI 3 GARIP BIR KUYRUK;SERMIN CARKACI;ELMACOCUK YAYINLARI
2869;UYKUSUZ HER GECE ;SALIM KESKINGOZ;ELMACOCUK YAYINLARI
2870;VIRGINIA WOOLF: GORUNMEYENIN YAZARI  ;LUISA ANTOLIN VILLOTA;ELMACOCUK YAYINLARI
2871;YAPRAGIN RENKLERI;CEREN KERIMOGLU;ELMACOCUK YAYINLARI
2872;YESIL ADA'NIN COCUKLARI;HAVVA TEKIN;ELMACOCUK YAYINLARI
2873;YESIL KUYRUKLU FARE;LEO LIONNI;ELMACOCUK YAYINLARI
2874;YUZYUZ;LEO LIONNI;ELMACOCUK YAYINLARI
2875;Dede Korkut Hikâyeleri                 ;Bilgin Adali;YAPI KREDI YAYINLARI
2876;Sermin                                             ;Tevfik Fikret;YAPI KREDI YAYINLARI
2877;Akin                            ;Faruk Nafiz Camlibel;YAPI KREDI YAYINLARI
2878;Sevdali Bulut             ;Nâzim Hikmet    ;YAPI KREDI YAYINLARI
2879; Aritmetik Iyi Kuslar Pekiyi          ;Cemal Sureya;YAPI KREDI YAYINLARI
2880;Billur Kosk Masallari        ;Tahir Alangu;YAPI KREDI YAYINLARI
2881;Nasrettin Hoca Hikayeleri;Orhan Veli Kanik;YAPI KREDI YAYINLARI
2882;"Uc Oyku"" Arabalar Bes Kurusa Ayran Sirca Kosk""    ";Sabahattin Ali;YAPI KREDI YAYINLARI
2883;Agridagi Efsanesi ;Yasar Kemal;YAPI KREDI YAYINLARI
2884;Misir'a Yolculuk ;Gulten Dayioglu;YAPI KREDI YAYINLARI
2885; Iztanbul 1 Madalyonun Laneti           ;Ayla Haciogullari;YAPI KREDI YAYINLARI
2886;Iztanbul  2  Bin Altin         ;Ayla Haciogullari;YAPI KREDI YAYINLARI
2887;Iztanbul  3  Tilsimlar Uyaninca        ;Ayla Haciogullari;YAPI KREDI YAYINLARI
2888; Pal Sokagi Cocuklari                       ;Ferenc Molnar;YAPI KREDI YAYINLARI
2889;Bil Bakalim Ne Zaman                ;Geraldine Maincent;YAPI KREDI YAYINLARI
2890;Bil Bakalim Nerede                          ;Elisabeth Marrou;YAPI KREDI YAYINLARI
2891;Bil Bakalim Bilim ve Buluslar !            ;Sabine Boccador;YAPI KREDI YAYINLARI
2892;Hayalet Gise - Milo'nun Akil Almaz Seruveni;Norton Juster;YAPI KREDI YAYINLARI
2893;Bizim Korsanlar;Alper Uygur;YAPI KREDI YAYINLARI
2894;Kalemler;Yasar Kemal;YAPI KREDI YAYINLARI
2895;Kayip Seyler Ulkesinde;Ege Erim;YAPI KREDI YAYINLARI
2896;Benim Dedem Bir Tane;Tarik Dursun K. ;YAPI KREDI YAYINLARI
2897;Kaplumbagali Adam Osman Hamdi Bey;Dilek Maktal Canko;YAPI KREDI YAYINLARI
2898; Bil Bakalim Bu Nedir?            ;Isabelle Jegue Maynart;YAPI KREDI YAYINLARI
2899;Gulyabani                     ;Huseyin Rahmi Gurpinar;INKILAP KITABEVI
2900;Yalniz Efe                        ;Omer Seyfettin;INKILAP KITABEVI
2901;Miskinler Tekkesi                  ;Resat Nuri Guntekin;INKILAP KITABEVI
2902;Calikusu                 ;Resat Nuri Guntekin;INKILAP KITABEVI
2903; Tanri Misafiri                      ;Resat Nuri Guntekin;INKILAP KITABEVI
2904;Dostlar Beni Hatirlasin;âsik Veysel;INKILAP KITABEVI
2905;Memleket Hikayeleri;Refik Halid Karay;INKILAP KITABEVI
2906;0liver Twist                   ;Charles Dickens;INKILAP KITABEVI
2907; Hep O Sarki      ;Yakup Kadri Karaosmanoglu;ILETISIM YAYINCILIK
2908;Cukurlar;Louis Sachar;ILETISIM YAYINCILIK
2909;Kucuk Aga;Tarik Bugra;ILETISIM YAYINCILIK
2910;Kiralik Konak ;Yakup Kadri Karaosmanoglu;ILETISIM YAYINCILIK
2911;Beyaz Gemi   ;Cengiz Aytmatov;OTUKEN NESRIYAT
2912;Yilki Ati   ;Abbas Sayar;OTUKEN NESRIYAT
2913;Sait Faik Abasiyanik’tan Secme Hikayeler              ;Sait Faik Abasiyanik;IS BANKASI KULTUR YAYINLARI
2914;Define Adasi                                             ;Robert Louis Stevenson;IS BANKASI KULTUR YAYINLARI
2915; Pinokyo                  ;Carlo Collodi;IS BANKASI KULTUR YAYINLARI
2916;Olumsuz Aile                      ;Natalie Babbitt;IS BANKASI KULTUR YAYINLARI
2917;Beyaz Dis     ;Jack London;IS BANKASI KULTUR YAYINLARI
2918;Robinson Crusoe ;Daniel  Defoe;IS BANKASI KULTUR YAYINLARI
2919;Omer Seyfettin'den Secme Hikayeler  ;Omer Seyfettin;IS BANKASI KULTUR YAYINLARI
2920;Don Kisot'un Seruvenleri  ;Miguel de Cervantes;IS BANKASI KULTUR YAYINLARI
2921;Tuhaf Bir Yaz Tatili;Geraldine McCaughrean;IS BANKASI KULTUR YAYINLARI
2922;Baltali Kahraman - Urgun Atesten Taht;Kjartan Posskitt;IS BANKASI KULTUR YAYINLARI
2923;Semaver;Sit Faik Abasiyanik;IS BANKASI KULTUR YAYINLARI
2924;Karlar Eridiginde;S.D. Crockett;IS BANKASI KULTUR YAYINLARI
2925;Marti       ;Anton Pavlovic Cehov;IS BANKASI KULTUR YAYINLARI
2926;Az Gittik Uz Gittik                    ; Pertev Naili Boratav;IMGE KITABEVI 
2927;Halime Kaptan               ;Rifat Ilgaz;CINAR YAYINLARI
2928;Bacaksiz Parali Atlet    ;Rifat Ilgaz;CINAR YAYINLARI
2929;Bacaksiz Okulda        ;Rifat Ilgaz;CINAR YAYINLARI
2930;Bacaksiz Tatil Koyunde   ;Rifat Ilgaz;CINAR YAYINLARI
2931;Bacaksiz Kamyon Surucusu         ;Rifat Ilgaz;CINAR YAYINLARI
2932;Yasli Adam ve Deniz        ;Ernest Hemingway;BILGI YAYINEVI
2933;Zikkimin Koku            ;Muzaffer Izgu;BILGI YAYINEVI
2934;Ekmek Parasi          ;Muzaffer Izgu;BILGI YAYINEVI
2935;Hayri Potur           ;Muzaffer Izgu;BILGI YAYINEVI
2936;Su Cilgin Turkler;Turgut Ozakman;BILGI YAYINEVI
2937;Safakta Yanan Mumlar;Serpil Ural;BILGI YAYINEVI
2938;Gulen Ada         ;Halikarnas Balikcisi;BILGI YAYINEVI
2939;Samatali Koy         ;Astrid Lindgren;PEGASUS
2940;Sol Ayagim            ; Christy Brown;NORA
2941;Kayip Gul          ;Serdar Ozkan;TIMAS YAYINLARI
2942;Agaclar Yok Olmasin    ;Kathryn Lamb;HAYYKITAP
2943;Iki Dirhem Bir Cekirdek                   ;Iskender Pala;KAPI YAYINLARI
2944;Sekizinci  Renk          ;Gulten Dayioglu;ALTIN KITAPLAR
2945;Mo'nun Gizemi 1   ;Gulten Dayioglu;ALTIN KITAPLAR
2946;Mo'nun Gizemi 2 Otran    ;Gulten Dayioglu;ALTIN KITAPLAR
2947;Mo'nun Gizemi 3 Ikizler   ;Gulten Dayioglu;ALTIN KITAPLAR
2948;Suna'nin Serceleri  ;Gulten Dayioglu;ALTIN KITAPLAR
2949;Fadis           ;Gulten Dayioglu;ALTIN KITAPLAR
2950;Siniftan Yukselen Sesler;Rob Buyea;ALTIN KITAPLAR
2951;Esrarengiz Kelimeler;Almila Aydin;ALTIN KITAPLAR
2952;Dagin Ay'la Bulustugu Yer;Grace Lin;ALTIN KITAPLAR
2953;Son Kara Kedi;Evgene Trivizas;ALTIN KITAPLAR
2954;Zeplin Teyzenin Yildizlari  ;Asuman Portakal;ALTIN KITAPLAR
2955;Sercekus              ;Cahit Zarifoglu;BEYAN YAYINCILIK
2956;Insan Ne Ile Yasar   ;Lev Tolstoy;BEYAN YAYINCILIK
2957;Miyase'nin Kuzulari;Ustun Dokmen;REMZI KITABEVI
2958;Yankili Kayalar     ;Ahmet Yilmaz Boyunaga;GENC TIMAS YAYINLARI
2959;Bir Kucuk Osmancik Vardi         ;Hasan Nail Canat;GENC TIMAS YAYINLARI
2960;Deyim MI Demeyeyim Mi                             ;Melek Ce;UGURBOCEGI YAYINLARI
2961;Elma Bahceleri                ; Emily Taft  Douglas;UGURBOCEGI YAYINLARI
2962;SHERLOCK,LUPEN VE BEN  Parktaki Sfenks ; Irene Adler;DOGAN EGMONT
2963;SHERLOCK,LUPEN VE BEN  Kral Kobra Bilmecesi     ; Irene Adler;DOGAN EGMONT
2964;SHERLOCK,LUPEN VE BEN  Nehrin Sirlari       ; Irene Adler;DOGAN EGMONT
2965;SHERLOCK,LUPEN VE BEN  Buzlar Sarayi ; Irene Adler;DOGAN EGMONT
2966;SHERLOCK,LUPEN VE BEN  Korku Katedrali ; Irene Adler;DOGAN EGMONT
2967;SHERLOCK,LUPEN VE BEN  Gizemli Kirmizi Gul  ; Irene Adler;DOGAN EGMONT
2968;SHERLOCK,LUPEN VE BEN  Siyahli Kadin     ; Irene Adler;DOGAN EGMONT
2969;EFSANE DOLU ANADOLU                        ;Mehmet Guler;DOGAN EGMONT
2970;GECMISIN  SOZLERI  DEYIMLER            ;Ece Varol & Ganime Cavus;DOGAN EGMONT
2971;GECMISIN  IZLERI  ATASOZLERI        ;Ece Varol & Ganime Cavus;DOGAN EGMONT
2972;FANATIK GALATASARAYLI        ;Canan Tan;DOGAN EGMONT
2973;BESIKTASIM SEN COK YASA        ;Canan Tan;DOGAN EGMONT
2974;OGLUM NASIL FENERBAHCELI OLDU?   ;Canan Tan;DOGAN EGMONT
2975;DUNYANIN EN SISMANI                   ;Sevim Ak;DOGAN EGMONT
2976;SON ADA'NIN COCUKLARI;Zulfu Livaneli;DOGAN EGMONT
2977;ARKADASIMA VEDA             ;Zulfu Livaneli;DOGAN EGMONT
2978;Hazine Avi              ;Koray Avci Cakman;DOGAN EGMONT
2979;Kayip Formul  ;Koray Avci Cakman;DOGAN EGMONT
2980;Gizemli  Laboratuvar  ;Koray Avci Cakman;DOGAN EGMONT
2981;Olmayan Ulke   ;Ahmet Umit;DOGAN EGMONT
2982;Masal  Masal Icinde ;Ahmet Umit;DOGAN EGMONT
2983;Cevreci Dede Yaklasan Tehlike;Hikmet Temel Akarsu ;DOGAN EGMONT
2984;Percy Jackson ve Olimposlular - Simsek Hirsizi;Rick Riordan;DOGAN EGMONT
2985;Sokaklardan Bir Ali;Canan Tan;DOGAN EGMONT
2986;Beyaz Evin Gizemi;Canan Tan;DOGAN EGMONT
2987;Goren Gozler Duyan Kulaklar;Nazli Eray;DOGAN EGMONT
2988;Frej Apartmani'nin Esrari;Nazli Eray;DOGAN EGMONT
2989;Bir Bocek Sevdim;Nazli Eray;DOGAN EGMONT
2990;Karga Feramuz'un Aski           ;Nazli Eray;DOGAN EGMONT
2991;DOKUZUNCU HARICIYE KOGUSU   ;Peyami Safa ;ALKIM YAYINEVI
2992;Afacanlar Cetesi           ;Ipek Ongun;ARTEMIS YAYINLARI
2993;Kamp Arkadaslari           ;Ipek Ongun;ARTEMIS YAYINLARI
2994;Cingoz Recai  Seytani Tuzak            ;Peyami Safa;DAMLA YAYINEVI
